id,created Date,updated Date,title,youtube-url,thumbnail,description,category,tags,name,slug
6a530618e12bb2fb95efb028,2026-07-12T03:12:24.667Z,,,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,Hear from a UniStation student who successfully secured admission to a top UK medical school.,Student Stories,"uk, medicine, ucat",UniStation: From Dubai to a UK Medical School,unistation-dubai-to-uk-medical-school
6a5306179b1e7b37a97fdbec,2026-07-12T03:12:22.782Z,,,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,"Step-by-step guide to applying for a Canadian study permit. Documents, timelines, and tips.",Canada,"canada, visa",Canada Study Visa: Complete Process Explained,canada-study-visa-complete-process
6a530616e12bb2fb95efae80,2026-07-12T03:12:22.124Z,,,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,"Learn about our Turkish language courses — from A1 to C1, designed for students planning to study in Turkey.",Turkish,"turkish, turkey",Turkish Language Course at UniStation,turkish-language-course-unistation
6a530615159520ecf55202a2,2026-07-12T03:12:21.407Z,,,https://www.youtube.com/shorts/dQw4w9WgXcQ,,"Experience a day in the life of an international student studying in Barcelona, Spain.",Spain,"spanish, spain",Study in Spain: Student Life in Barcelona,study-in-spain-student-life-barcelona
6a530614e12bb2fb95efad2b,2026-07-12T03:12:20.544Z,,,https://www.youtube.com/shorts/dQw4w9WgXcQ,,Expert IELTS preparation tips from our certified trainers. Learn strategies for all four modules.,IELTS,"english, ielts",IELTS Tips: How to Get Band 7+,ielts-tips-how-to-get-band-7
6a53061147b428bbc0be1338,2026-07-12T03:12:17.203Z,,,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,Everything you need to know about studying in Germany — from tuition-free universities to admission requirements and student life.,Germany,"german, germany",Why Study in Germany? Complete Guide 2025,why-study-in-germany-complete-guide-2025
6a52386edac6de3eae2bb582,2026-07-11T12:34:54.723Z,,,https://www.youtube.com/shorts/jRX6vG2rQPE,,A helpful insight about international education and university admissions from the UniStation team.,Tips,,Education Insight – Quick Tip,education-insight-short-1
6a52386e5f91c1d9e20cd68b,2026-07-11T12:34:54.397Z,,,https://www.youtube.com/shorts/hrSojoMqJzU,,A quick update from UniStation about our services and latest opportunities for students looking to study abroad.,Updates,,UniStation – Quick Update,unistation-update-short-1
6a52386e5f91c1d9e20cd671,2026-07-11T12:34:54.149Z,,,https://www.youtube.com/shorts/JccluO-ayZs,,Hear from students who have gone through the study abroad journey with UniStation's guidance and support.,Student Life,,Study Abroad – Student Perspective,student-perspective-short-1
6a52386db67abc0f463b3c45,2026-07-11T12:34:53.895Z,,,https://www.youtube.com/shorts/9op99vXgE4I,,A glimpse into university life for international students. More content coming soon on the UniStation channel.,Student Life,,University Life – Quick Insight,university-life-short-1
6a52386db67abc0f463b3c30,2026-07-11T12:34:53.691Z,,,https://www.youtube.com/shorts/54kLL3iKWDM,,A quick tip for students planning to study abroad. Follow UniStation for more guidance on international education.,Tips,,Study Abroad Tips – Quick Insight,study-abroad-tips-short-1
6a52386db67abc0f463b3c1b,2026-07-11T12:34:53.373Z,,,https://www.youtube.com/watch?v=UV5B51SAt10,,"Confused about which university major to pick? In this video, we break down the process of choosing the right specialization from among more than 5,000 options available worldwide. Perfect for students planning to study abroad.",Guidance,,How to Choose Your University Major from Over 5000 Options!,how-to-choose-university-major
